appname,event,timestamp
系统桌面,32,1605068094240
系统桌面,1,1605068097546
设置,32,1605068097610
设置,32,1605068097650
系统桌面,32,1605068097656
设置,1,1605068098945
设置,32,1605068099092
设置,32,1605068099717
设置,32,1605068099738
设置,1,1605068100284
设置,32,1605068100349
系统桌面,32,1605068103804
系统桌面,32,1605068104295
系统桌面,1,1605068110263
微信,32,1605068110346
微信,32,1605068110395
系统桌面,32,1605068110398
微信,32,1605068110455
微信,32,1605068111352
微信,32,1605068111398
微信,32,1605068114123
系统桌面,32,1605068126080
系统桌面,32,1605068126139
系统桌面,32,1605068126650
系统桌面,1,1605068129619
AppUsageStatistics,32,1605068129688
系统桌面,32,1605068129704
AppUsageStatistics,32,1605068129733
系统桌面,32,1605068129781
AppUsageStatistics,1,1605068130593
AppUsageStatistics,32,1605068130627
AppUsageStatistics,32,1605068132071
系统桌面,32,1605068164266
系统 UI,32,1605068185216
系统 UI,32,1605068185237
系统 UI,32,1605068185252
系统 UI,32,1605068185267
万象息屏,32,1605068185671
Android 系统,32,1605068186518
系统 UI,32,1605068186567
小米画报,32,1605068187098
系统 UI,32,1605068187394
万象息屏,32,1605068197037
Android 系统,32,1605068540322
小米画报,32,1605068540531
系统 UI,32,1605068540749
系统 UI,32,1605068541592
系统 UI,32,1605068541605
系统桌面,32,1605068542569
设置,32,1605068542606
设置,32,1605068542651
AppUsageStatistics,32,1605068543557
系统桌面,32,1605068565706
系统桌面,32,1605068566209
系统桌面,1,1605068570093
设置,32,1605068570151
设置,32,1605068570172
系统桌面,32,1605068570178
设置,1,1605068579179
设置,32,1605068579256
系统桌面,32,1605068582827
系统桌面,32,1605068583370
系统 UI,32,1605068769017
系统 UI,32,1605068769030
万象息屏,32,1605068769307
Android 系统,32,1605069677856
系统桌面,32,1605069677957
系统桌面,32,1605069678146
系统桌面,32,1605069678213
设置,32,1605074155245
设置,32,1605074155364
设置,32,1605074155393
设置,32,1605074155872
设置,32,1605074155887
应用预测,32,1605074156553
应用预测,32,1605074156587
系统桌面,32,1605074157134
系统桌面,32,1605074157157
系统桌面,32,1605074157671
系统桌面,1,1605074158130
应用预测,32,1605074158176
系统桌面,32,1605074158205
系统桌面,32,1605074158220
应用预测,1,1605074159523
应用预测,32,1605074159524
应用预测,1,1605074160956
应用预测,1,1605074161443
系统桌面,32,1605074162098
系统桌面,32,1605074162123
系统桌面,32,1605074162636
系统桌面,1,1605074163922
微信,32,1605074164012
系统桌面,32,1605074164039
微信,32,1605074164050
系统桌面,32,1605074164070
微信,1,1605074166542
微信,32,1605074166724
微信,32,1605074167722
微信,32,1605074167783
系统桌面,32,1605074168569
系统桌面,32,1605074168603
系统桌面,32,1605074169152
系统桌面,1,1605074169475
QQ,32,1605074169633
系统桌面,32,1605074169647
系统桌面,32,1605074169653
QQ,1,1605074172741
QQ,1,1605074179787
系统桌面,32,1605074182098
系统桌面,32,1605074182161
系统桌面,1,1605074184168
用户行为,32,1605074184228
系统桌面,32,1605074184252
系统桌面,32,1605074184270
用户行为,32,1605074184546
系统桌面,32,1605074185072
系统桌面,32,1605074185108
系统桌面,32,1605074185678
系统桌面,2,1605074186218
系统桌面,1,1605074188960
应用预测,32,1605074189080
系统桌面,32,1605074189085
系统桌面,32,1605074189087
应用预测,32,1605074189088
应用预测,1,1605074190747
应用预测,32,1605074190750
应用预测,32,1605074191904
系统桌面,32,1605074241830
系统桌面,32,1605074241877
系统桌面,32,1605074243153
设置,32,1605074253357
设置,32,1605074253370
设置,32,1605074254068
设置,32,1605074254081
应用预测,32,1605074254796
应用预测,32,1605074254852
应用预测,1,1605074255948
系统桌面,1,1605074261327
应用预测,32,1605074261423
系统桌面,32,1605074261662
系统桌面,32,1605074261668
应用预测,32,1605074261687
应用预测,1,1605074262579
应用预测,32,1605074262584
应用预测,32,1605074263442
应用预测,1,1605074268076
应用预测,1,1605074269729
应用预测,1,1605074281938
应用预测,1,1605074282798
设置,32,1605074282898
设置,1,1605074283913
设置,32,1605074283984
设置,1,1605074285035
设置,32,1605074285070
设置,32,1605074285981
设置,32,1605074287142
设置,32,1605074287702
设置,32,1605074287722
系统桌面,32,1605074289564
系统桌面,32,1605074289595
系统桌面,32,1605074290159
系统桌面,1,1605074291259
菜鸟,32,1605074291289
系统桌面,32,1605074291996
系统桌面,32,1605074292021
菜鸟,32,1605074292117
菜鸟,32,1605074292402
菜鸟,1,1605074293596
菜鸟,32,1605074293838
菜鸟,32,1605074294987
系统桌面,32,1605074295962
系统桌面,32,1605074296012
系统桌面,32,1605074296584
系统桌面,1,1605074296763
设置,32,1605074296826
设置,32,1605074296853
设置,32,1605074297992
设置,32,1605074298014
应用预测,32,1605074298515
应用预测,32,1605074298563
应用预测,1,1605074299665
应用预测,1,1605074301655
应用预测,32,1605074301659
