event,appname,timestamp
32,搜狗输入法小米版,2020-11-11 10:05:49
1,QQ,2020-11-11 10:05:59
1,QQ,2020-11-11 10:06:05
32,QQ,2020-11-11 10:06:06
32,QQ,2020-11-11 10:06:06
32,系统桌面,2020-11-11 10:06:09
32,系统桌面,2020-11-11 10:06:09
32,系统 UI,2020-11-11 10:06:10
32,系统 UI,2020-11-11 10:06:10
32,系统 UI,2020-11-11 10:06:10
32,万象息屏,2020-11-11 10:06:10
32,Android 系统,2020-11-11 10:06:36
32,系统 UI,2020-11-11 10:06:36
32,系统 UI,2020-11-11 10:06:37
32,小米画报,2020-11-11 10:06:37
32,万象息屏,2020-11-11 10:06:38
32,Android 系统,2020-11-11 10:10:46
32,系统桌面,2020-11-11 10:10:46
32,系统桌面,2020-11-11 10:10:46
32,系统桌面,2020-11-11 10:10:46
32,系统 UI,2020-11-11 10:10:47
32,系统桌面,2020-11-11 10:10:47
32,系统桌面,2020-11-11 10:10:47
32,系统桌面,2020-11-11 10:10:49
32,系统桌面,2020-11-11 10:10:49
32,系统 UI,2020-11-11 10:10:53
32,系统 UI,2020-11-11 10:10:53
32,系统 UI,2020-11-11 10:10:53
32,万象息屏,2020-11-11 10:10:53
32,Android 系统,2020-11-11 10:11:03
32,系统桌面,2020-11-11 10:11:03
32,系统桌面,2020-11-11 10:11:03
32,系统桌面,2020-11-11 10:11:03
1,系统桌面,2020-11-11 10:11:04
32,手机管家,2020-11-11 10:11:04
32,手机管家,2020-11-11 10:11:04
32,系统 UI,2020-11-11 10:11:04
32,系统桌面,2020-11-11 10:11:04
32,系统桌面,2020-11-11 10:11:04
32,微信,2020-11-11 10:11:07
32,微信,2020-11-11 10:11:13
1,微信,2020-11-11 10:11:14
32,微信,2020-11-11 10:11:14
32,微信,2020-11-11 10:11:14
1,微信,2020-11-11 10:11:14
32,微信,2020-11-11 10:11:14
32,微信,2020-11-11 10:11:15
32,微信,2020-11-11 10:11:47
32,微信,2020-11-11 10:11:47
32,微信,2020-11-11 10:11:47
32,系统桌面,2020-11-11 10:11:51
32,系统桌面,2020-11-11 10:11:51
1,系统桌面,2020-11-11 10:11:52
32,系统 UI,2020-11-11 10:11:52
32,系统 UI,2020-11-11 10:11:52
32,系统 UI,2020-11-11 10:11:52
32,系统 UI,2020-11-11 10:11:52
32,万象息屏,2020-11-11 10:11:53
32,Android 系统,2020-11-11 10:12:24
32,系统桌面,2020-11-11 10:12:24
32,系统桌面,2020-11-11 10:12:24
32,系统桌面,2020-11-11 10:12:24
1,系统桌面,2020-11-11 10:12:25
32,QQ,2020-11-11 10:12:26
32,QQ,2020-11-11 10:12:26
32,系统桌面,2020-11-11 10:12:26
32,系统桌面,2020-11-11 10:12:26
32,系统桌面,2020-11-11 10:12:27
32,系统桌面,2020-11-11 10:12:27
1,系统桌面,2020-11-11 10:12:27
32,系统 UI,2020-11-11 10:12:27
32,系统 UI,2020-11-11 10:12:27
32,系统 UI,2020-11-11 10:12:27
32,系统 UI,2020-11-11 10:12:27
32,万象息屏,2020-11-11 10:12:28
32,Android 系统,2020-11-11 10:13:48
32,小米画报,2020-11-11 10:13:49
32,系统桌面,2020-11-11 10:13:50
32,系统桌面,2020-11-11 10:13:50
32,系统桌面,2020-11-11 10:13:50
1,系统桌面,2020-11-11 10:13:53
32,系统 UI,2020-11-11 10:13:53
32,系统 UI,2020-11-11 10:13:53
32,系统 UI,2020-11-11 10:13:53
32,万象息屏,2020-11-11 10:13:54
32,Android 系统,2020-11-11 10:24:35
32,系统桌面,2020-11-11 10:24:35
32,系统桌面,2020-11-11 10:24:35
32,系统桌面,2020-11-11 10:24:35
32,系统桌面,2020-11-11 10:24:35
32,系统桌面,2020-11-11 10:24:36
32,系统桌面,2020-11-11 10:24:36
32,系统桌面,2020-11-11 10:24:36
32,系统桌面,2020-11-11 10:24:36
1,系统桌面,2020-11-11 10:24:36
32,QQ,2020-11-11 10:24:37
32,系统桌面,2020-11-11 10:24:37
32,QQ,2020-11-11 10:24:37
32,系统桌面,2020-11-11 10:24:37
1,QQ,2020-11-11 10:24:39
32,系统桌面,2020-11-11 10:24:49
32,系统桌面,2020-11-11 10:24:49
32,系统 UI,2020-11-11 10:24:52
32,系统 UI,2020-11-11 10:24:52
32,系统 UI,2020-11-11 10:24:52
32,系统 UI,2020-11-11 10:24:52
32,万象息屏,2020-11-11 10:24:52
32,Android 系统,2020-11-11 10:28:42
32,小米画报,2020-11-11 10:28:42
32,系统 UI,2020-11-11 10:28:42
32,系统 UI,2020-11-11 10:28:44
32,系统 UI,2020-11-11 10:28:44
32,系统桌面,2020-11-11 10:28:45
32,系统桌面,2020-11-11 10:28:45
32,系统桌面,2020-11-11 10:28:45
32,设置,2020-11-11 10:28:46
32,设置,2020-11-11 10:28:46
